asset_id,symbol,name,policy_id,asset_name_hex,decimals,source,source_asset_id,quote_asset,bootstrap_from,valid_from,valid_to,base_asset_symbol,source_market_id
ada,ADA,Cardano,,,6,binance_spot,ADAUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,,ADA,binance_spot:ADAUSDT
night,NIGHT,Midnight,,,6,binance_spot,NIGHTUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,NIGHT,binance_spot:NIGHTUSDT
snek,SNEK,SNEK,,,6,binance_spot,SNEKUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,SNEK,binance_spot:SNEKUSDT
agix,AGIX,SingularityNET,,,8,binance_spot,AGIXUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,2024-07-01T00:00:00Z,AGIX,binance_spot:AGIXUSDT
fet,FET,Artificial Superintelligence Alliance,,,8,binance_spot,FETUSDT,USDT,2024-07-01T00:00:00Z,2024-07-01T00:00:00Z,,FET,binance_spot:FETUSDT
iag,IAG,IAGON,,,6,binance_spot,IAGUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,IAG,binance_spot:IAGUSDT
btc,BTC,Bitcoin,,,8,binance_spot,BTCUSDT,USDT,2017-08-17T00:00:00Z,2017-08-17T00:00:00Z,,BTC,binance_spot:BTCUSDT
eth,ETH,Ethereum,,,18,binance_spot,ETHUSDT,USDT,2017-08-17T00:00:00Z,2017-08-17T00:00:00Z,,ETH,binance_spot:ETHUSDT
bnb,BNB,BNB,,,18,binance_spot,BNBUSDT,USDT,2017-08-17T00:00:00Z,2017-08-17T00:00:00Z,,BNB,binance_spot:BNBUSDT
xrp,XRP,XRP,,,6,binance_spot,XRPUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,,XRP,binance_spot:XRPUSDT
sol,SOL,Solana,,,9,binance_spot,SOLUSDT,USDT,2020-08-11T00:00:00Z,2020-08-11T00:00:00Z,,SOL,binance_spot:SOLUSDT
trx,TRX,TRON,,,6,binance_spot,TRXUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,,TRX,binance_spot:TRXUSDT
hype,HYPE,Hyperliquid,,,18,binance_spot,HYPEUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,HYPE,binance_spot:HYPEUSDT
doge,DOGE,Dogecoin,,,8,binance_spot,DOGEUSDT,USDT,2019-07-05T00:00:00Z,2019-07-05T00:00:00Z,,DOGE,binance_spot:DOGEUSDT
rain,RAIN,Rain Coin,,,18,binance_spot,RAINUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,RAIN,binance_spot:RAINUSDT
leo,LEO,UNUS SED LEO,,,18,binance_spot,LEOUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,LEO,binance_spot:LEOUSDT
xlm,XLM,Stellar,,,7,binance_spot,XLMUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,,XLM,binance_spot:XLMUSDT
zec,ZEC,Zcash,,,8,binance_spot,ZECUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,,ZEC,binance_spot:ZECUSDT
cc,CC,Canton Coin,,,18,binance_spot,CCUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,CC,binance_spot:CCUSDT
wbt,WBT,WhiteBIT Coin,,,18,binance_spot,WBTUSDT,USDT,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,WBT,binance_spot:WBTUSDT
xmr,XMR,Monero,,,12,binance_spot,XMRUSDT,USDT,2018-04-16T00:00:00Z,2018-04-16T00:00:00Z,,XMR,binance_spot:XMRUSDT
